Date,Active,Reactive,HouseIndex,Temperature,Humidity,Pressure,Rainfall,Snowfall,Cloud,Wind,Discomfort
2016-09-01 10:00,309.3054394,142.5351914,18,21.3,0.81,989.6,0,0,9,1.3,69.05047
2016-09-01 10:00,183.7306851,105.4046046,19,21.3,0.81,989.6,0,0,9,1.3,69.05047
2016-09-01 11:00,112.4491026,89.71785804,4,25.9,0.62,989.6,0,0,3,3.9,74.31042
2016-09-01 11:00,125.7091545,96.82037746,6,25.9,0.62,989.6,0,0,3,3.9,74.31042
2016-09-01 11:00,168.9825837,195.6056771,16,25.9,0.62,989.6,0,0,3,3.9,74.31042
2016-09-01 11:00,354.6104193,133.2714328,18,25.9,0.62,989.6,0,0,3,3.9,74.31042
2016-09-01 11:00,217.6608995,108.3067055,19,25.9,0.62,989.6,0,0,3,3.9,74.31042
2016-09-01 12:00,100.6914189,89.5148496,4,27,0.64,989.6,0,0,8,4.5,76.1252
2016-09-01 12:00,224.1464577,99.95425282,6,27,0.64,989.6,0,0,8,4.5,76.1252
2016-09-01 12:00,168.3477371,196.5150842,16,27,0.64,989.6,0,0,8,4.5,76.1252
2016-09-01 12:00,312.3292865,128.5306784,18,27,0.64,989.6,0,0,8,4.5,76.1252
2016-09-01 12:00,246.5927039,107.1090596,19,27,0.64,989.6,0,0,8,4.5,76.1252
2016-09-01 13:00,110.0494254,88.04231366,4,27.8,0.62,989.4,0,0,6,5.4,77.01564
2016-09-01 13:00,141.2925306,96.77037828,6,27.8,0.62,989.4,0,0,6,5.4,77.01564
2016-09-01 13:00,168.8862049,194.9458273,16,27.8,0.62,989.4,0,0,6,5.4,77.01564
2016-09-01 13:00,301.2121652,132.5795709,18,27.8,0.62,989.4,0,0,6,5.4,77.01564
2016-09-01 13:00,216.3693263,102.3156971,19,27.8,0.62,989.4,0,0,6,5.4,77.01564
2016-09-01 14:00,112.7614484,88.14717404,4,28.5,0.57,989.4,0,0,1,7.8,77.31655
2016-09-01 14:00,141.4425985,95.45891997,6,28.5,0.57,989.4,0,0,1,7.8,77.31655
2016-09-01 14:00,179.8196993,194.2436139,16,28.5,0.57,989.4,0,0,1,7.8,77.31655
2016-09-01 14:00,277.9220769,131.5888923,18,28.5,0.57,989.4,0,0,1,7.8,77.31655
2016-09-01 14:00,178.7429561,94.47103873,19,28.5,0.57,989.4,0,0,1,7.8,77.31655
2016-09-01 15:00,100.6033697,90.50578815,4,28.3,0.6,989.4,0,0,2,6.1,77.4532
2016-09-01 15:00,137.6230775,95.09339521,6,28.3,0.6,989.4,0,0,2,6.1,77.4532
2016-09-01 15:00,175.9858615,196.2227917,16,28.3,0.6,989.4,0,0,2,6.1,77.4532
2016-09-01 15:00,291.7267183,138.8029288,18,28.3,0.6,989.4,0,0,2,6.1,77.4532
2016-09-01 15:00,180.0306949,97.92711726,19,28.3,0.6,989.4,0,0,2,6.1,77.4532
2016-09-01 16:00,111.19456,88.71795778,4,28.3,0.56,989.8,0,0,1,5.7,76.90452
2016-09-01 16:00,197.4699879,102.0280703,6,28.3,0.56,989.8,0,0,1,5.7,76.90452
2016-09-01 16:00,170.0008213,196.7002402,16,28.3,0.56,989.8,0,0,1,5.7,76.90452
2016-09-01 16:00,309.8100242,141.9080701,18,28.3,0.56,989.8,0,0,1,5.7,76.90452
2016-09-01 16:00,100.350815,92.95762116,19,28.3,0.56,989.8,0,0,1,5.7,76.90452
2016-09-01 17:00,110.9107725,86.84080906,4,28.5,0.49,990.3,0,0,0,5.2,76.20335
2016-09-01 17:00,209.7487189,102.0281301,6,28.5,0.49,990.3,0,0,0,5.2,76.20335
2016-09-01 17:00,170.6247745,196.8203913,16,28.5,0.49,990.3,0,0,0,5.2,76.20335
2016-09-01 17:00,343.2360807,133.8067842,18,28.5,0.49,990.3,0,0,0,5.2,76.20335
2016-09-01 17:00,100.1021517,93.0927873,19,28.5,0.49,990.3,0,0,0,5.2,76.20335
2016-09-01 18:00,107.6323864,88.35908188,4,27.7,0.44,990.8,0,0,0,6.4,74.51112
2016-09-01 18:00,196.8426524,101.7407562,6,27.7,0.44,990.8,0,0,0,6.4,74.51112
2016-09-01 18:00,185.2448653,193.4709861,16,27.7,0.44,990.8,0,0,0,6.4,74.51112
2016-09-01 18:00,484.7147788,117.2085464,18,27.7,0.44,990.8,0,0,0,6.4,74.51112
2016-09-01 18:00,99.78273843,93.15334967,19,27.7,0.44,990.8,0,0,0,6.4,74.51112
2016-09-01 19:00,138.0187319,91.05186292,4,26.6,0.52,991.5,0,0,0,4.7,74.10368
2016-09-01 19:00,663.8799501,140.1385446,6,26.6,0.52,991.5,0,0,0,4.7,74.10368
2016-09-01 19:00,182.565947,190.7912594,16,26.6,0.52,991.5,0,0,0,4.7,74.10368
2016-09-01 19:00,688.5129839,134.917504,18,26.6,0.52,991.5,0,0,0,4.7,74.10368
2016-09-01 19:00,99.65969661,92.98483697,19,26.6,0.52,991.5,0,0,0,4.7,74.10368
2016-09-01 20:00,259.3217372,92.39099718,4,25.8,0.58,992.9,0,0,0,3.3,73.71836
2016-09-01 20:00,413.7186558,49.6484042,6,25.8,0.58,992.9,0,0,0,3.3,73.71836
